plays,total_yards,yards_per_play,rush_pass_ratio,turnover_diff,avg_epa,fg_made,fg_missed,first_downs,win
75,420,5.599999253333433,0.774193298647323,2,-0.016376126018888285,75,75,23.0,1
72,276,3.8333328009259997,0.9999996296297669,0,-0.19653431041577002,72,72,18.0,1
77,378,4.9090902715467175,1.0769226627220527,2,-0.49470433719493156,77,77,19.0,0
92,597,6.48912972944242,0.8947366066482614,3,0.3996767766916031,92,92,24.0,1
65,442,6.799998953846314,0.2162161577794168,2,0.10892629519799828,65,65,20.0,0
77,596,7.7402587350313325,0.47368408587260896,3,0.05027604314995848,77,77,21.0,0
80,386,4.824999396875075,0.8235291695502441,2,0.1325545144632278,80,80,21.0,1
67,373,5.567163348184574,0.5624998242188048,2,-0.0611473935233341,67,67,20.0,0
89,470,5.280898283045136,0.9705879498270735,3,-0.013075557725472245,89,89,26.0,1
91,295,3.2417578855211113,1.060605739210382,2,-0.16796278655978275,91,91,27.0,0
73,252,3.4520543216363944,2.4117632871980663,2,-0.18863174301139538,73,73,19.0,0
77,357,4.636363034238567,1.192307233727987,4,-0.05654620320960429,77,77,19.0,1
68,254,3.735293568339181,0.9599996160001536,2,-0.09774271077634082,68,68,19.0,0
86,470,5.465115643591204,0.624999843750039,5,0.02227255029465235,86,86,25.0,0
72,498,6.916665706018652,0.5806449739854923,3,0.13803517004735252,72,72,19.0,1
83,658,7.927709888227724,0.6756754930606775,2,0.11706002405817754,83,83,25.0,0
106,440,4.150943004628019,0.5686273394848353,0,0.024824936822801628,106,106,26.0,0
82,500,6.09756023200485,1.5769224704144345,2,0.3048840936797861,82,82,24.0,1
65,303,4.661537744378808,1.7857130102049927,3,-0.23833791257123974,65,65,16.0,0
66,416,6.303029348025856,0.7307689497042501,1,0.21961940190296173,66,66,16.0,1
95,489,5.147367879224434,0.41509426130296956,5,-0.05854502470597219,95,95,25.0,0
65,410,6.307691337278255,0.8571425510205175,2,0.3543589172668467,65,65,21.0,1
86,550,6.395348093564175,0.7894734764543483,4,-0.10522664962460833,86,86,31.0,0
92,538,5.84782545132332,1.1176467301039028,5,0.2087038090165889,92,92,27.0,1
77,400,5.194804520155257,0.4249998937500265,2,-0.21505190701263435,77,77,20.0,0
76,542,7.131578009002893,0.39024380725760793,1,0.016443687095867365,76,76,24.0,1
90,539,5.988888223456864,0.40384607618344687,2,-0.071695005785059,90,90,28.0,0
94,486,5.17021221593487,0.49999990000002,2,0.0500642071846354,94,94,28.0,0
76,413,5.4342098112881825,0.7878785491277123,3,0.023421195233542802,76,76,21.0,0
70,383,5.47142778979603,0.45454531680444943,2,-0.3775481117753822,70,70,20.0,0
86,430,4.999999418604719,1.1562496386719878,3,0.20496371837334426,86,86,24.0,1
86,459,5.337208681719921,0.5111109975308894,1,0.1269723179505908,86,86,26.0,1
77,318,4.129869593523429,0.5555554012346107,2,-0.14562359964369803,77,77,18.0,0
82,560,6.829267459845432,1.241378882283144,0,0.24904195653737266,82,82,22.0,1
78,427,5.47435827251817,1.1111106995886297,0,0.22868523494632342,78,78,23.0,0
73,447,6.123286832426461,0.4594593352812607,3,-0.13982527674776868,73,73,19.0,0
90,560,6.2222215308642745,0.7499998125000468,4,0.03842213463901349,90,90,31.0,1
63,306,4.857142086167922,0.7199997120001153,3,-0.39995075909432315,63,63,20.0,0
90,587,6.5222214975309445,0.6999998250000437,4,0.04353094368514083,90,90,28.0,1
104,609,5.855768667714551,0.7872338750566222,4,0.017716676893855032,104,104,34.0,1
69,395,5.724636851501906,0.5294116089965856,1,-0.009737968705384546,69,69,19.0,0
89,659,7.4044935500569045,0.4186045538128944,2,0.163702419852627,89,89,23.0,0
84,517,6.1547611720522415,1.0333329888890037,0,0.17937488740384952,84,84,21.0,0
95,671,7.063157151246616,1.2187496191407439,1,0.3092085647042531,95,95,26.0,1
78,629,8.064101530243393,0.47368408587260896,3,0.10008421582209243,78,78,21.0,0
67,352,5.253730559144692,0.8148145130316619,5,-0.10882892720685564,67,67,20.0,0
89,653,7.3370778272946255,0.9166664120371076,4,0.08315760803640002,89,89,28.0,1
79,394,4.987341140842894,2.823527750866029,3,-0.014746538554666276,79,79,22.0,1
64,443,6.9218739184572,1.2631572299172473,6,-0.13583132094538314,64,64,18.0,0
91,378,4.153845697379594,0.9705879498270735,1,-0.13550352334061697,91,91,24.0,1
75,400,5.333332622222317,0.6896549346017466,5,-0.26471791407597123,75,75,15.0,0
83,406,4.891565675714979,1.1034478953627946,2,-0.1683502870892337,83,83,25.0,1
85,341,4.01176423391009,0.3043477599244,3,-0.20887069023724897,85,85,25.0,0
93,409,4.397848989478603,0.6136362241735853,2,0.00015464462920983902,93,93,25.0,1
64,254,3.968749379882909,0.35483859521335637,2,-0.29861876846204666,64,64,17.0,0
96,647,6.739582631293476,0.5869563941399143,0,0.344362893771962,96,96,27.0,1
68,390,5.735293274221577,2.266665155556563,8,-0.4552896223741531,68,68,21.0,0
98,455,4.6428566690962585,1.2352937543253664,3,-0.11320063112903107,98,98,27.0,0
92,518,5.630434170604981,1.2903221644122052,7,-0.15944553238002862,92,92,29.0,0
74,446,6.027026212564025,0.6285712489796431,5,0.044843452955482234,74,74,20.0,1
87,480,5.517240745144742,0.4893615980081706,4,-0.047288050156544435,87,87,25.0,0
83,581,6.9999991566266075,0.9999996774194589,1,0.12374894650571401,83,83,18.0,1
76,551,7.249999046052757,0.5999998285714775,4,-0.02130589392070554,76,76,23.0,0
71,435,6.12675970045638,0.30769222879686436,6,-0.12363102053446104,71,71,21.0,0
82,489,5.963413906900743,1.7307685650890134,0,0.34747106090590607,82,82,24.0,1
70,221,3.1571424061225133,0.656249794921939,4,-0.19370202873077141,70,70,17.0,0
76,521,6.855262255886545,1.7083326215280743,0,0.2185388025343838,76,76,24.0,1
77,411,5.337661644459526,0.8709674609782384,2,0.12073699698948642,77,77,23.0,1
77,585,7.597401610727063,0.5588233650519514,1,0.0767615105887219,77,77,25.0,0
84,394,4.690475632086234,1.0333329888890037,4,-0.3759686316296421,84,84,22.0,0
85,462,5.435293478200767,1.0312496777344755,0,0.020924625298896278,85,85,19.0,1
103,625,6.067960575926158,0.41509426130296956,2,-0.09447840159392096,103,103,29.0,0
64,379,5.921874074707175,0.7692304733728949,2,-0.024910416064606568,64,64,18.0,1
76,490,6.447367572714793,0.6944442515432634,1,0.34112920222291515,76,76,24.0,1
78,501,6.423076099605628,1.071428188775647,2,-0.14546801216995955,78,78,21.0,0
85,516,6.07058752110735,0.7222220216049939,2,-0.012277901388637933,85,85,27.0,1
77,344,4.467531887333521,0.8387094068679333,4,-0.38619153199405065,77,77,19.0,0
72,245,3.4027773051698187,1.2272721694217412,0,-0.02117219761073641,72,72,15.0,1
93,492,5.290322011793332,0.5319147804436637,3,-0.15740783335880829,93,93,30.0,0
85,467,5.494117000692118,3.1176452249145736,3,0.2600074672927285,85,85,20.0,1
64,349,5.453124147949351,0.6333331222222927,4,-0.3061808424045828,64,64,23.0,0
85,462,5.435293478200767,0.7027025127831046,6,-0.09674719320787557,85,85,26.0,0
78,446,5.717947984878463,0.8333330555556482,3,0.13246688990339792,78,78,16.0,1
97,471,4.855669602508288,0.8157892590028265,3,-0.10207468415263615,97,97,20.0,0
92,624,6.782607958412179,0.7105261288089134,5,0.0005879430985764407,92,92,27.0,1
81,404,4.987653705227937,0.48717936226170194,3,-0.13774600538644263,81,81,21.0,1
88,385,4.374999502840965,0.6410254766601341,4,-0.17948307454521736,88,88,22.0,0
77,337,4.376622808230804,0.8518515363512829,1,-0.0027297477155331256,77,77,21.0,1
90,511,5.67777714691365,0.41304338846882854,4,-0.11644436593508464,90,90,26.0,0
79,418,5.2911385707419525,1.3076918047339212,1,0.11996955499545109,79,79,19.0,1
81,347,4.283950088401223,0.4749998812500297,1,-0.17196961285254667,81,81,23.0,0
